362,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
362,"t","Spinach Production, Price, and Value by Utilization – States and United States: 2017-2019"
362,"h","","","",""
362,"h","","Utilized production","Utilized production","Utilized production"
362,"h","Utilization and State","","",""
362,"h","","2017","2018","2019"
362,"h","","","",""
362,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
362,"d","Fresh market",,,
362,"d","Arizona",1830.0,1887.0,"(D)"
362,"d","California","(D)","(D)",6284.5
362,"d","Colorado 1/","(D)","(D)","(NA)"
362,"d","Maryland 1/","(D)","(D)","(NA)"
362,"d","New Jersey","(D)","(D)","(D)"
362,"d","Texas",463.7,132.0,"(D)"
362,"d","",,,
362,"d","Other States 2/",4339.9,4724.4,2420.4
362,"d","",,,
362,"d","United States",6633.6,6743.4,8704.9
362,"h","","","",""
362,"h","","Utilized production","Utilized production","Utilized production"
362,"h","Utilization and State","","",""
362,"h","","2017","2018","2019"
362,"h","","","",""
362,"u","","(tons)","(tons)","(tons)"
362,"d","Processing",,,
362,"d","Arizona",-,-,"(D)"
362,"d","California","(D)","(D)",36473
362,"d","Colorado 1/","(D)","(D)","(NA)"
362,"d","Maryland 1/","(D)","(D)","(NA)"
362,"d","New Jersey","(D)","(D)","(D)"
362,"d","Texas",10416,9499,"(D)"
362,"d","",,,
362,"d","Other States 2/",62434,58457,8580
362,"d","",,,
362,"d","United States",72850,67956,45053
362,"h","","","","","","",""
362,"h","","Price per unit","Price per unit","Price per unit","Value of utilized production","Value of utilized production","Value of utilized production"
362,"h","Utilization and State","","","","","",""
362,"h","","2017","2018","2019","2017","2018","2019"
362,"h","","","","","","",""
362,"u","","(dollars per cwt)","(dollars per cwt)","(dollars per cwt)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
362,"d","Fresh market",,,,,,
362,"d","Arizona",53.30,44.40,"(D)",97539,83783,"(D)"
362,"d","California","(D)","(D)",60.00,"(D)","(D)",377070
362,"d","Colorado 1/","(D)","(D)","(NA)","(D)","(D)","(NA)"
362,"d","Maryland 1/","(D)","(D)","(NA)","(D)","(D)","(NA)"
362,"d","New Jersey","(D)","(D)","(D)","(D)","(D)","(D)"
362,"d","Texas",39.30,38.80,"(D)",18223,5122,"(D)"
362,"d","",,,,,,
362,"d","Other States 2/",78.50,66.10,56.60,340801,312356,137111
362,"d","",,,,,,
362,"d","United States",68.80,59.50,59.10,456563,401261,514181
362,"h","","","","","","",""
362,"h","","Price per unit","Price per unit","Price per unit","Value of utilized production","Value of utilized production","Value of utilized production"
362,"h","Utilization and State","","","","","",""
362,"h","","2017","2018","2019","2017","2018","2019"
362,"h","","","","","","",""
362,"u","","(dollars per ton)","(dollars per ton)","(dollars per ton)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
362,"d","Processing",,,,,,
362,"d","Arizona","(X)","(X)","(D)",-,-,"(D)"
362,"d","California","(D)","(D)",320.00,"(D)","(D)",11671
362,"d","Colorado 1/","(D)","(D)","(NA)","(D)","(D)","(NA)"
362,"d","Maryland 1/","(D)","(D)","(NA)","(D)","(D)","(NA)"
362,"d","New Jersey","(D)","(D)","(D)","(D)","(D)","(D)"
362,"d","Texas",110.00,107.00,"(D)",1146,1016,"(D)"
362,"d","",,,,,,
362,"d","Other States 2/",211.00,229.00,107.00,13151,13394,918
362,"d","",,,,,,
362,"d","United States",196.00,212.00,279.00,14297,14410,12589
362,"c",""
362,"f","-  Represents zero."
362,"f","(D)  Withheld to avoid disclosing data for individual operations."
362,"f","(NA)  Not available."
362,"f","(X)  Not applicable."
362,"f","1/ Estimates discontinued in 2019."
362,"f","2/ Includes data withheld above."
