86,"t","Vegetables 2019 Summary: Released February 13, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
86,"t","Sweet Potato for Fresh Market and Processing Area Planted and Harvested, Yield, Production, Price, and Value – States and United States: 2017-2019"
86,"h","","","","","","",""
86,"h","","Area planted","Area planted","Area planted","Area harvested","Area harvested","Area harvested"
86,"h","State","","","","","",""
86,"h","","2017","2018","2019","2017","2018","2019"
86,"h","","","","","","",""
86,"u","","(acres)","(acres)","(acres)","(acres)","(acres)","(acres)"
86,"d","Arkansas 1/","(D)",5200,"(NA)","(D)",4800,"(NA)"
86,"d","California",21000,21000,21500,21000,21000,21500
86,"d","Florida 1/","(D)",6500,"(NA)","(D)",5800,"(NA)"
86,"d","Louisiana 1/",10000,8500,"(NA)",9500,8300,"(NA)"
86,"d","Mississippi",30000,27000,28000,29000,26000,27500
86,"d","North Carolina",90000,82000,98000,89500,78500,97700
86,"d","",,,,,,
86,"d","Other States 2/",10600,-,-,10300,-,-
86,"d","",,,,,,
86,"d","United States",161600,150200,147500,159300,144400,146700
86,"h","","","","","","",""
86,"h","","Yield per acre","Yield per acre","Yield per acre","Total production","Total production","Total production"
86,"h","State","","","","","",""
86,"h","","2017","2018","2019","2017","2018","2019"
86,"h","","","","","","",""
86,"u","","(cwt)","(cwt)","(cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
86,"d","Arkansas 1/","(D)",220.0,"(NA)","(D)",1056.0,"(NA)"
86,"d","California",310.0,370.0,380.0,6510.0,7770.0,8170.0
86,"d","Florida 1/","(D)",140.0,"(NA)","(D)",812.0,"(NA)"
86,"d","Louisiana 1/",230.0,265.0,"(NA)",2185.0,2200.0,"(NA)"
86,"d","Mississippi",170.0,175.0,155.0,4930.0,4550.0,4262.5
86,"d","North Carolina",220.0,140.0,200.0,19690.0,10990.0,19540.0
86,"d","",,,,,,
86,"d","Other States 2/",226.0,"(X)","(X)",2331.0,-,-
86,"d","",,,,,,
86,"d","United States",224.0,190.0,217.9,35646.0,27378.0,31972.5
86,"h","","","","","","",""
86,"h","","Harvested not sold","Harvested not sold","Harvested not sold","Utilized production","Utilized production","Utilized production"
86,"h","State","","","","","",""
86,"h","","2017","2018","2019 3/","2017","2018","2019 3/"
86,"h","","","","","","",""
86,"u","","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)","(1,000 cwt)"
86,"d","Arkansas 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
86,"d","California","(NA)","(NA)",49.0,"(NA)","(NA)",8121.0
86,"d","Florida 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
86,"d","Louisiana 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
86,"d","Mississippi","(NA)","(NA)",-,"(NA)","(NA)",4262.5
86,"d","North Carolina","(NA)","(NA)",78.2,"(NA)","(NA)",19461.8
86,"d","",,,,,,
86,"d","Other States 2/","(NA)","(NA)",-,"(NA)","(NA)",-
86,"d","",,,,,,
86,"d","United States","(NA)","(NA)",127.2,"(NA)","(NA)",31845.3
86,"h","","","","","","",""
86,"h","","Price per cwt","Price per cwt","Price per cwt","Value of utilized production","Value of utilized production","Value of utilized production"
86,"h","State","","","","","",""
86,"h","","2017 4/","2018 4/","2019","2017 4/","2018 4/","2019"
86,"h","","","","","","",""
86,"u","","(dollars)","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
86,"d","Arkansas 1/","(D)",23.20,"(NA)","(D)",24499,"(NA)"
86,"d","California",23.70,23.60,23.30,154287,183372,189236
86,"d","Florida 1/","(D)",47.90,"(NA)","(D)",38895,"(NA)"
86,"d","Louisiana 1/",19.90,20.00,"(NA)",43482,44000,"(NA)"
86,"d","Mississippi",18.50,18.00,17.60,91205,81900,75021
86,"d","North Carolina",15.30,23.80,16.60,301257,261562,323868
86,"d","",,,,,,
86,"d","Other States 2/",28.60,"(X)","(X)",66790,-,-
86,"d","",,,,,,
86,"d","United States",18.40,23.20,18.50,657021,634228,588125
86,"c",""
86,"f","-  Represents zero."
86,"f","(D)  Withheld to avoid disclosing data for individual operations."
86,"f","(NA)  Not available."
86,"f","(X)  Not applicable."
86,"f","1/ Estimates discontinued in 2019."
86,"f","2/ Includes data withheld above."
86,"f","3/ Estimates began in 2019."
86,"f","4/ Price and value for 2017 and 2018 are based upon total production instead of utilized production."
